,Вопрос,Ответ 1,Ответ 2,Ответ 3,Ответ 4
1867,Какому учёному принадлежит изобретение рельефно-точечного шрифта для письма и чтения слепых?,Луи Брайль,Исаак Питкан,Тимоти Брайт,Кингели Рид
1868,"Откуда мастера начинают клеить обои, края которых идут внахлёст, а не встык?",от окна,от двери,от стены напротив окна,от дальнего от окна угла
1869,Шею какого футболиста украшает татуировка в виде креста на фоне распростёртых крыльев?,Дэвид Бекхэм,Рональдиньо,Златан Ибрагимович,Андрей Аршавин
1870,Какой из этих штатов граничит с наибольшим количеством других штатов?,Теннесси,Айдахо,Пенсильвания,Небраска
1871,Частью чего является элерон?,крыла самолёта,кухонного комбайна,жёсткого диска компьютера,грифа электрогитары
1872,Кто из этих мыслителей не был иностранным почетным членом Петербургской Академии наук?,Руссо,Кант,Дидро,Вальтер
1873,Какое из этих женских имен - римского происхождения?,Татьяна,Ольга,Анна,Нина
1874,Какой из перечисленных театров был открыт раньше других?,"""Комедия Франсез""",Большой театр,"""Ковент-Гарден""","""Ла Скала"""
1875,Столица какого штата названа в честь Английского исследователя?,Северная Каролина,Вермонт,Мичиган,Алабама
1876,В какой стране изобрели блюдо ризотто?,Италия,Германия,Франция,Испания
1877,Как называется главный бухгалтерский отчет?,Баланс,Аудит,Доходы и расходы,Дебет и кредит
1878,Кто был первым французским королем из династии Бурбонов?,Генрих IV,Карл IX,Людовик XIII,Людовик XIII
1879,Сколько кубических сантиметров в кубометре?,1 000 000,10 000,100 000,тысяча тысяч
1880,Кто стал преемником митрополита Петра Могилы?,Сильвестр Коссов,Иов Борецкий,Исаия Копинский,Дионисий Балабан
1881,Как называлась денежная единица Чехословакии?,крона,ствол,лист,корень
1882,Что предназначено для езды?,багги,регги,грогги,лаги
1883,Какой элемент считается самым распространенным во вселенной?,Водород,Кислород,Углерод,Литий
1884,Какой из этих пассажирских самолетов был первым в СССР реактивным авиалайнером?,Ту-104,Ан-24,Як-40,Ил-62
1885,Какой из этих грибов собирают ранней весной?,Сморчок,Опёнок,Маслёнок,Моховик
1886,В какой области России находится 90 % мировых залежей янтаря?,В Калининградской,В Ленинградской,В Смоленской,В Архангельской
1887,Какое из этих произведений создал Андрей Платонов?,"""Сокровенный человек""","""Дорогой мой человек?""","""Черный человек""","""Человек ниоткуда"""
1888,Какая из греческих муз изображалась с лирой в руках?,Терпсихора,Урания,Клио,Талия
1889,Какие спортсмены не плывут во время состязаний?,десятиборцы,каноисты,пятиборцы,триатлонисты
1890,Какая страна является основным добытчиком и экспортером изумрудов в мире?,Колумбия,Шри-Ланка,Индия,Россия
1891,О каком романе напоминает передача Александра Гордона на Первом канале?,"""Дон Кихот""","""12 стульев""","""Дети капитана Гранта""","""Отцы и дети"""
1892,Какое из этих озер находится полностью на территории США?,Мичиган,Верхнее,Гурон,Эри
1893,Кто из генеральных секретарей ООН пребывал у власти раньше остальных?,Курт Вальдхайм,Перес де Куэльер,Бутрос Гали,Кофи Аннон
1894,Что измеряется в денье?,плотность колготок,объём сумочки,высота каблука,густота помады
1895,Каким фронтом не командовал Константин Рокоссовский?,1-й Украинский,2-й Белорусский1,1-й Белорусский,Брянский
1896,Какой цветовой модели не существует?,SMYK,HSV,Lab,RGB
1897,"Название какого химического элемента на латыни означает ""Утренняя заря""?",Золото,Серебро,Медь,Ртуть
1898,Что представляет собой туманность Андромеды?,Галактика,Метеорит,Созвездие,Звезда
1899,Какие животные существуют?,Сирены,Русалки,Наяды,Ундины
1900,"У кого из этих поэтов есть стихотворение ""Няне Пушкина""?",Н. М. Языков,П. А. Вяземский,А. А. Дельвиг,В. К. Кюхельбекер
1901,Какого названия для различных видов ивы не существует?,Кривотал,Тал,Чернотал,Краснотал
1902,Какое из этих растений не является лианой?,Фейхоа,Ваниль,Киви,Виноград
1903,В виде какой фигуры представляют человеческие потребности благодаря психологу Абрахаму Маслоу?,пирамида,конус,призма,куб
1904,Вариант какой письменности сейчас используется в Монголии как основной?,кириллица,латиница,иероглифы,клинопись
1905,Мелодию какой песни играют часы на фасаде кукольного театра имени Образцова?,"«Во саду ли, в огороде»",«Калинка-малинка»,«Во поле берёза стояла»,«Коробейники»
1906,Как называется один из видов подъёмных кранов?,козловой,свиной,овечий,бычий
1907,"В каком российском фильме звучит стишок «Я узнал, что у меня есть огромная семья»?",«Брат-2»,«Брат»,«Сестры»,«Сын»
1908,"На какой улице Петербурга, по мнению Н.В. Гоголя, «человек менее эгоист»?",На Невском проспекте,На Литейной,На Мещанской,На Гороховой.
1909,У какого персонажа русских былин было отчество Одихмантьевич?,Соловей-разбойник,Тугарин Змей,Калин-царь,Идолище поганое
1910,На территории какого государства возникли в средние века первые на Земле банки?,Италия,Испания,Турция,Швейцария
1911,В какой грамматике все существительные пишутся с большой буквы?,Немецкой,Французской,Испанской,Итальянской
1912,Что из перечисленного не является сплавом?,олово,сталь,бронза,чугун
1913,Благодаря какой профессии родился фразеологизм «большая шишка»?,бурлак,бортник,кузнец,лесоруб
1914,"В честь кого получил неофициальное название первый в истории подводный дом, построенный в 1962 году Жаком Ивом Кусто?",диогена,сократа,архимеда,евклида
1915,Кто такая конюга?,птица,рептилия,рыба,бабочка
1916,Название какого города переводится как «две реки»?,Туапсе,Батуми,Сухуми,Алушта
1917,"Кем был по профессии Ласло Йозеф Биро, изобретатель шариковой ручки?",журналист,учитель,летчик,врач
1918,Какое слово образовано от начальных слов песни «Прелестная Катарина»?,шарманка,шансон,шарабан,шлягер
1919,Сколько политиков изображено на купюрах СССР образца 1961 года?,один,двое,трое,четверо
1920,Кто из этих ученых кончил жизнь на костре?,Джордано Бруно,Коперник,Парацельс,Галилео Галилей
1921,Кто из этих богов изображался на древнеримских монетах?,Янус,Мардук,Велес,Кришна
1922,Какого цвета нет на государственном флаге Кубы?,зелёного,белого,красного,синего
1923,Одним из основателей какого направления в философии был Эрнст Мах?,Эмпириокритицизм,Неопозитивизм,Экзистенциализм,Прагматизм
1924,Как выглядит регистрационный знак автомобиля российской полиции?,белые цифры на синем фоне,синие цифры на жёлтом фоне,чёрные цифры на белом фоне,белые цифры на красном фоне
1925,Где можно встретить дикого яка?,Тибет,Анды,Альпы,Карпаты
1926,Что наконец-то появилось у рок-звезды Оззи Осборна в 62 года?,водительские права,диплом о муз. образовании,кредитная карточка,яхта
1927,"Где, согласно растафарианству, находится рай?",Эфиопия,Ямайка,Иерусалим,Вавилон
1928,Как зовут черноглазую казачку из одноименной песни?,Катерина,Евдокия,Настасья,Степанида
1929,"Из скорлупы какого ореха получают анакардиевое масло, которым пропитывают древесину против гниения?",кешью,грецкий,арахис,кокос
1930,Какая буква чаще других встречается в русском языке?,О,Т,А,Р
1931,Какую фамилию носил главный герой рассказа «Ионыч»?,Старцев;,Туркин;,Епиходов;,Гаев.
1932,Какое произведение Чехова послужило основой для кинофильма «Мой ласковый и нежный зверь»?,«Драма на охоте».,«Дама с собачкой».,«Свадьба».,«Три сестры».
1933,Как называется одна из ранних пьес А.П. Чехова?,«Иванов»,«Петров»,«Сидоров»,«Николаев»
1934,Какое из этих «строений» создано пером А.П. Чехова?,«Дом с мезонином»,«Кошкин дом»,«Домик в Коломне»,«Хижина дяди Тома»
1935,Антон Павлович Чехов всю жизнь по капле выдавливал из себя… Кого?,Раба,Шута,Врача,Интеллигента
1936,"Как называется и рассказ Антона Чехова, и балет Валерия Гаврилина с участием Екатерины Максимовой?",«Анюта»,«Ася»,«Лиза»,«Катерина»
1937,Как называется комедия А.П. Чехова?,«Леший»,«Водяной»,«Домовой»,«Кикимора»
1938,Какой стиль плавания вошёл в олимпийскую программу позже остальных?,Баттерфляй,На спине,Брасс,Кроль
1939,"Что Борис Пастернак назвал единственной новостью, которая всегда нова?",Талант,Любовь,Успех,Мысль
1940,Какому животному в 1919 году благодарные жители Алабамы поставили памятник?,жуку-долгоносику,индейке,мустангу,кролику
1941,На берегу какого моря стоит город Архангельск?,Белого,Баренцева,Балтийского,Охотского
1942,Какой из этих географических объектов - река в Западной Сибири?,Яя,Онон,Тете,Они
1943,"Кто из этих философов в 1864 году написал музыку на стихи А.С.Пушкина ""Заклинание"" и ""Зимний вечер""?",Ницше,Шопенгауэр,Юнг,Гейгель
1944,Какая река берёт начало в озере Байкал?,Ангара,Иртыш,Енисей,Лена
1945,В какую реку впадает Иртыш?,Обь,Амур,Лена,Енисей
1946,Река «песенных размышлений» атамана Ермака:,Иртыш,Енисей,Дон,Волга
1947,Что является результатом слияния Бий-Хема и Ка-Хема?,Енисей,Амур,Иртыш,Лена
1948,Откуда вытекает река Нева?,Из Ладожского озера,Из озера Ильмень,Из Онежского озера,Из Финского залива
1949,Какая российская река берёт своё начало в Китае?,Иртыш,Лена,Ангара,Колыма
1950,Какая река ещё не «задействована» в марках российских автомобилей?,Яуза,Ока,Волга,Кама
1951,В честь какой реки названа область РФ?,Амур,Лена,Ангара,Енисей
1952,Какая «душистая» река протекает по Ярославской области РФ?,Черёмуха,Сирень,Жасмин,Рябина
1953,"Назовите ""цветную"" реку в Якутии, являющуюся левым притоком Лены?",Синяя,Белая,Красная,Жёлтая
1954,"На какой реке находится Рыбинское водохранилище, глубинами не уступающее Азовскому морю?",Волга,Обь,Ангара,Дон
1955,Притоком какой реки является Москва-река?,Ока,Кама,Клязьма,Печора
1956,"На берегу какого озера находится могила русского путешественника, исследователя Николая Михайловича Пржевальского?",Иссык-Куль,Селигер,Валдайское,Байкал
1957,"По какому предмету Альберт Эйнштейн провалился, поступая в Политехникум Цюриха?",ботаника,физика,математика,немецкий язык
1958,Кто был единственным космонавтом имевшим звание Героя Советского союза до полета на орбиту?,Георгий Береговой,Павел Беляев,Василий Лазарев,Владимир Шаталов
1959,Как по-другому иногда называют матадора?,эспада,терсьо,вуэльта,мулета
1960,В какую программу бальных танцев входит танго?,в европейскую,в латиноамериканскую,в обе,не входит не в одну
1961,Что или кто помогает вылечить простуду?,небулайзер,органайзер,мерчендайзер,эквалайзер
1962,Кем был былинный богатырь Садко?,музыкантом,князем,воином,пахарем
1963,"Как назывались гостиница и ресторан в оперетте Кальмана ""Принцесса цирка""?","""Зелёный попугай""","""Красный петух""","""Белая ворона""","""Синяя птица"""
1964,Какой из языков программирования является декларативным?,SQL,Pascal,C#,Lisp
1965,"Как закончить известную поговорку ""Сыт, пьян и ...""?",нос в табаке,глаза в песке,губы в пиве,уши в саже
1966,Какое изобретение сделало Альфреда Нобеля знаменитым?,Динамит,Динамометр,Огнемет,Напалм
1967,Кто сказал «И дым отечества нам сладок и приятен»?,Грибоедов,Пушкин,Вяземский,Пожарский
1968,Как звали главного злодея из бразильского сериала «Рабыня Изаура»?,Леонсио,Рудольфо,Рикардо,Алваро
1969,К какой стихии принадлежит зодиакальный знак Близнецов?,воздух,огонь,земля,вода
1970,"Чем лечат, когда применяют ампелотерапию?",виноградом,солями,музыкой,запахами
1971,"Как часто называют треугольник со сторонами 3, 4 и 5 метров?",египетский,вавилонский,греческий,римский
1972,"Как называлась деревянная дощечка, которую носили с собой в древности на Руси малограмотные люди?",нос,корма,палуба,рея
1973,Столицу какого государство Европы можно найти в теле человека?,Австрия,Словения,Румыния,Швейцария
1974,В каком городе Испании проходит фестиваль La Tomatina - помидорная война?,Буньоль,Ятова,Дос-Агвас,Макастре
1975,Как называется вьетнамская валюта?,Донг,Иена,Юань,Вона
1976,Какие дни называют табельными?,Праздничные,Рабочие,Воскресные,Отпускные
1977,Какая из этих стран ввела визовый режим для россиян в 2000 г.?,Чехия,Турция,Италия,Кипр
1978,Какое из перечисленных озёр находится не в Африке?,Титикака,Танганьика,Ньяса,Чад
1979,"Название какого города само говорит о том, что он столица?",Астана,Варшава,Найроби,Лиссабон
1980,Кто не сидел за столом во время Безумного чаепития в сказке Кэролла «Алиса в стране Чудес»?,Чеширский Кот,Мышь-Соня,Болванщик,Мартовский Заяц
1981,Сколько куполов в комплексе храма Василия Блаженного?,11,13,9,7
1982,Как звали русского борца Поддубного?,Иван,Илья,Алексей,Дмитрий
1983,Какой петербургский мост не разводят?,Аничков,Литейный,Троицкий,Дворцовый
1984,Какой стиль называют «вещами из бабушкиного сундука»?,винтаж,фьюжн,милитари,этника
1985,Самая высокая гора какой страны называется Говерла?,Украина,Белоруссия,Казахстан,Армения
1986,Что является фирменным блюдом на Уимблдонском теннисном турнире?,Клубника со сливками,Ананасы в шампанском,Яблочный штрудель,Шоколадный пудинг
1987,Радиолы с каким названием не было во времена СССР?,«Украина»,«Латвия»,«Беларусь»,«Эстония»
1988,На каком корабле произошло восстание против нарушения ленинских принципов советской властью?,«Сторожевой»,"""Стерегущий""","""Смелый""","""Смелый"""
1989,Какая страна является родиной кофе?,Эфиопия,Индия,Алжир,Бразилия
1990,Какая из этих рыб является объектом промысла для добычи черной икры?,cеврюга,семга,кета,горбуша
1991,"Как по-другому называют обожжённую, но не покрытую глазурью керамику?",терракота,фаянс,изразец,фарфор
1992,Где можно увидеть слова «primo» и «secunda»?,на Медном всаднике,на скрипке Страдивари,на Царь-колоколе,на кремлёвских курантах
1993,Притоком какой реки является Сура?,Волга,Ока,Кама,Днепр
1994,"Какой из этих цветов, по легенде, не был прекрасным юношей?",тюльпан,нарцисс,гиацинт,василёк
1995,На чём экспедиция Амундсена в 1926 году долетела до Северного полюса?,Дирижабль,Аэростат,Самолёт,Воздушный шар
1996,Какую картину написал не Василий Верещагин?,«Граница Тибета»,«Японский священник»,«Двери Тамерлана»,«Калмыцкая молельня»
1997,"Сколько матчей должен сыграть спортивный клуб начиная с 1/32 финала, чтобы победить в розыгрыше кубка?",6,8,12,16
1998,"В какое насекомое не превращался князь Гвидон в ""Сказке о царе Салтане""?",пчела,муха,комар,шмель
1999,На каком из островов Японского архипелага находится Токио?,Хонсю,Сикоку,Кюсю,Хоккайдо
2000,"Сколько витков вокруг Земли сделал первый пилотируемый космический корабль ""Восток"" с Юрием Гагариным на борту?",Один,Три,Пять,Десять
2001,Какой вид общественного транспорта Москвы был для пассажиров самым дешевым в 70-е годы?,Трамвай,Автобус,Троллейбус,Метро
2002,Однажды Исаак Ньютон стоял над кипящим котелком с куриным яйцом в руке. Что же варилось в этот момент в воде?,часы,курица,очки,модель Вселенной
2003,Согласно мифологии африканского племени бушменов человек произошел от…,обезьяны,пришельцев со звезд,грибов,электрического разряда
2004,"Чью гипотезу доказал Григорий Перельман, отказавшийся от миллиона долларов и самой престижной награды в области математики?",Пуанкаре,Эйлера,Ферма,Пифагора
2005,"Какое животное, как считается, дало название денежной единице Хорватии?",куница,горностай,соболь,заяц
2006,Фамилия какого из этих сподвижников Петра Первого написана здесь с ошибкой?,Меньшиков,Ромодановский,Лефорт,Апраксин
2007,Сколько сражений проиграл А.В. Суворов?,Ни одного,Одно,Два,Три
2008,"Как называется поворот трассы «Формулы-1», на котором автомобили меняют траекторию на 180 градусов?",шпилька,заколка,булавка,брошь
2009,Какое слово произошло от китайского словосочетания «большой ветер»?,тайфун,ураган,торнадо,циклон
2010,Режиссёров фильма «Чапаев» называют «братья Васильевы». Кем они приходились друг другу на самом деле?,однофамильцами,отцом и сыном,двоюродными братьями,родными братьями
2011,На гербе какого заведения был начертан девиз «Для общей пользы»?,Царскосельский лицей,Московский университет,Морозовская больница,Смольный институт
2012,Какое прозвище дали Александру Мостовому болельщики футбольного клуба Сельта из Виго?,Царь,Король,Гений,Великий
2013,Какой химический элемент обозначают латинскими буквами Sn?,олово,стронций,скандий,цинк
2014,"Царем какой страны был Гордий - ""изобретатель"" знаменитого узла?",Фригии,Спарты,Персии,Лидии
2015,В водах какого океана находится знаменитое &quot;большое мусорное пятно&quot; из пластиковых отходов?,Тихого,Атлантический,Индийский,Северный Ледовитый
2016,В каком из городов наибольшее число жителей?,Сидней,Париж,Сан-Франциско,Новосибирск
2017,"Кто, будучи студентом, залил свои чертежи тушью и решил стать актёром?",Владимир Высоцкий,Олег Даль,Андрей Миронов,Олег Янковский
2018,"Чего, согласно идиоме, можно задать противнику в поединке?",перцу,соли,горчицы,аджику
2019,"Какую особенность внешности имеет птица клёст, выедающая семена из шишек?",перекрещённый клюв,раздвоенный хвост,короткие крылья,загнутые кверху когти
2020,Какого подвига не совершал Геракл?,убийство горгоны Медузы,поимка керинейской лани,истребление стимфалийских птиц,похищение пояса Ипполиты
2021,Для чего хакасы использую пыргы?,Музицируют,Мастерят юрту,Ловят оленя,Добывают огонь
2022,Каким стихотворным размером написана строка «Ветер по морю гуляет»?,Хорей,Ямб,Анапест,Дактиль
2023,Чьё выступление в цирке называют «антре»?,Клоунов,Дрессировщиков,Эквилибристо,Жонглёров
2024,В каком месяце в США традиционно начинаются президентские выборы?,Ноябрь,Октябрь,Сентябрь,Август
2025,В каком канадском городе находится самая высокая в мире телебашня?,Торонто,Оттава,Монреаль,Ванкувер
2026,Каким веком считается начало XX столетия в русской поэзии?,Серебряным,Бронзовым,Золотым,Платиновым
2027,Какое из этих мясных блюд обычно тушат?,Тефтели,Котлеты,Люля-кебаб,Фрикадельки
2028,Что такое мескаль?,Традиционный мексиканский алкогольный напиток,Блюдо бразильской кухни,Быстрорастущий кустарник,Денежная единица Венесуэлы
2029,Кто из этих ребят у Фазиля Искандера был из Чегема?,Сандро,Вахтанг,Серго,Вано
2030,С каким предметом не соревновались гимнастки на Олимпиаде 2012 года?,Скакалка,Обруч,Мяч,Булавы
2031,Какой из этих городов был столицей США?,Филадельфия,Детройт,Бостон,Атланта
2032,"Что означает слово ""кяхта""?",Город,Палата парламента,Церковная риза,Морское судно
2033,"Назовите множественное число слова ""дно""?",Донья,Дны,Дна,Доны
2034,Какие из этих древних племен не относятся к германским?,Пруссы,Франки,Англы,Готы
2035,Какое из этих морей не входит в бассейн Тихого океана?,Баренцево,Берингово,Охотское,Коралловое
2036,Кто из ниже перечисленных был жив на момент окончания Второй Мировой Войны?,Фридрих Паулюс,Бенито Муссолини,Вальтер Модель,Йозеф Геббельс
2037,Как с латинского языка переводится название острова Капри?,«козий остров»,«овечий остров»,«коровий остров»,«свиной остров»
2038,"Какие рыбы были изображены на гербе Царицына, который утвердил Николай I?",Стерляди,Сомы,Щуки,Лещи
2039,Кто является единственным пятикратным чемпионом мира в Формуле-1?,Хуан Мануель Фанхио,Ален Прост,Мика Хаккинен,Аертон Сенна
2040,Какой из этих живописцев не был портретистом?,Алексей Саврасов,Фёдор Рокотов,Дмитрий Левицкий,Владимир Боровиковский
2041,У какого из этих музыкальных инструментов меньше всего струн?,Домбра,Кобза,Балалайка,Саз
2042,"Фраза ""Ешь - потей, работай - мёрзни!"" - это:",Народная мудрость,Пословица,Поговорка,Завет Ильича
2043,Каким прибором измеряют силу тока?,Амперметр,Вольтметр,Омометр,Манометр
2044,Какая фирма пытается изменить нашу жизнь к лучшему?,Phillips,Siemens,Ardo,Газпром
2045,"Кому А.С. Пушкин посвятил стихотворение ""Во глубине сибирских руд...""?",Декабристам,Пугачеву,Шахтёрам,Анне Керн
2046,Какое из этих животных доводится самым близким родственником зубру?,Бизон,Буйвол,Як,Джейран
2047,В каком из этих городов состоялись игры Олимпиады-2000?,Сидней,Атланта,Афины,Лондон
2048,К какому виду программ относятся компьютерные шахматы?,Симуляторы,Стратегии,Квесты,Шутеры
2049,Как переводится Буэнос-Айрес?,Xороший воздуx,Голубое небо,Зелёный лес,Солёное озеро
2050,Какая сказка Пушкина начинается с числительного?,«Сказка о царе Салтане»,«Сказка о рыбаке и рыбке»,«Сказка о золотом петушке»,«Сказка о попе и работнике его Балде»
2051,"Что делает мастер, зачищая паркет?",циклюет,шпаклюет,малюет,ворует
2052,Кого или что рисуют художники-анималисты?,животных,иконы,людей,мультфильмы
2053,Из какого мяса делаются традиционные пожарские котлеты?,курятина,баранина,говядина,свинина
2054,"Что можно наблюдать, когда все суетятся?",дым коромыслом,огонь помелом,пепел ухватом,сажу лопатой
2055,"Какой цвет не входил в самое непонятное цветовое сочетание, да ещё и «в крапинку»?",красный,малиновый,серый,бурый
2056,Какой марки был первый автомобиль Владимира Путина?,"""Запорожец""","""Волга""","""Москвич""","""Победа"""
2057,Где в автомобиле находятся форсунки?,В двигателе,В салоне,В подвеске,В топливном баке
2058,"Какой породы был Джим — любимый пёс Василия Качалова, восхитивший Есенина?",Доберман,Такса,Овчарка,Сеттер
2059,"У этой болезни много названий: финикийская болезнь, скорбная болезнь, крымка, ленивая смерть. Какая это болезнь?",Проказа,Сибирская язва,Тиф,Чума
2060,Кто первым совершил в одиночку беспосадочный перелет через Атлантику?,Чарлз Линдберг,Рене? Поль Фонк,Н.Дэвис,Ч.Нунжесер
2061,"В каком году вышла первая звуковая экранизация трагедии ""Ромео и Джульетта""?",1936,1939,1932,1929
2062,Что из перечисленного не является небесным телом?,самолет,луна,солнце,звезда
2063,Какой рыцарский орден существует в Великобритании почти триста лет?,орден Бани,орден Кухни,орден Погреба,орден Кабинета
2064,"Название какого прибора само говорит, что он лучший?",примус,пирометр,конвектор,безмен
2065,Из какого материала сделана Венера Милосская?,мрамор,бронза,гипс,гранит
2066,Кто пел дуэтом в фильме «Обыкновенное чудо»?,Эмиль и Эмилия,Александр и Александра,Валерий и Валерия,Виктор и Виктория
2067,Какой город расположен не на Ангаре?,Якутск,Иркутск,Братск,Усть-Илимск
2068,Какой предмет авангардист Марсель Дюшан выставил как произведение искусства под названием «Фонтан»?,писсуар,шприц,садовую лейку,водопроводный кран
2069,За что песенка предлагает шофёру держаться крепче?,за баранку,за слойку,за ватрушку,за бублик
2070,краткое иносказательное- нравоучительное произведение,аполог,аполог,аполог,аполог
2071,"Хуже чего, как говорят в народе, может надоесть человек?",горькой редьки,солёной воблы,сладкой ваты,кислой простокваши
2072,Как называется знаменитая советская кинокомедия?,«Джентльмены удачи»,«Господа чужбины»,«Пэры победы»,«Лорды разлуки»
2073,Чем кроют крышу строители?,шифером,шифоньером,калорифером,матом
2074,В каких единицах химики измеряют количество вещества?,в молях,в пчёлах,в комарах,в мухах
2075,Какие российские военнослужащие официально имеют в рационе алкоголь?,моряки-подводники,прорабы стройбата,космонавты,работники военкоматов
2076,Какой официальный национальный праздник отмечают в Туркмении с 1994 года?,День дыни,День арбуза,День персика,День винограда
2077,"Какой из этих ударов в боксе наносится снизу согнутой рукой, чаще всего в подбородок?",апперкот,кросс,джеб,хук
2078,"Как называют человека, который утром чувствует себя бодрее, чем вечером?",Жаворонок,Сова,Петух,Феникс
2079,"Как в математике называется число, квадрат которого равен ""-1""?",Мнимая единица,Странная единица,Исключительная единица,Незаконная единица
2080,Кто из этих сказочных персонажей периодически сносил золотые яйца?,Курочка Ряба,Крокодил Гена,Черепаха Тортилла,Гадкий Утенок
2081,Как звали французского революционера XVIII века Робеспьера?,Максимилиан,Жан Жак,Жорж Жак,Оноре Габриэль
2082,Какой актер в трилогии Андре Юнебеля скрывался под маской Фантомаса?,Жан .Маре,Жан Габен,Аллен Делон,Пьер Ришар
2083,Сигнал на российских морских пляжах означает запрет на купание?,Черный шар,Черный флаг,Желтый шар,Желтый флаг
2084,Чье имя носит международный конкурс актерской песни?,Андрея Миронова,Юрия Никулина,Анаталоия Папанова,Евгения Леонова
2085,"Что такое ""ахиллесова пята""?",Уязвимое место,Сильный аргумент,Удар в каратэ,Размер ноги
2086,Что оценивают по шкале Бофорта?,Силу ветра,Высоту волны,Силу землетрясения,Твердость минералов
2087,По улице ходила... Кто?(с песенки),Большая крокодила,Зеленая кобыла,Невеста Автандила,Зубастая горилла
2088,Как называется серия энциклопедий издательства АСТ?,Я познаю мир,Я узнаю мир,Все о мире,Я незнаю мир
2089,"В какой стране необходимо побывать, чтобы отдохнуть в Анталье?",В Турции,В Египте,В Колумбии,В США
2090,Из какого злака делается пшено?,Просо,Овес,Ячмень,Пшеница
2091,Как называется японское искусство аранжировки цветов?,Икебанэ,Оригами,Бонсаи,Батик
2092,Что изобрёл в XIX веке англичанин Джордж Стефенсон?,Паровоз,Пароплан,Парашют,Пароход
2093,Кто из этих российских хоккеистов не включен в Зал хоккейной славы?,Алексей Ковалёв,Игорь Ларионов,Павел Буре,Вячеслав Фетисов
2094,"Кем был американец Джозеф Глидден, получивший в 1874 году патент на изобретение колючей проволоки?",фермером,кузнецом,архитектором,военным
2095,Какого вида акул не существует?,черная,лимонная,тигровая,кошачья
2096,По какому маршруту следует фирменный поезд «Лев Толстой»?,Москва-Хельсинки,Самара-Москва,Псков-Москва,Москва-София
2097,"Как назвалась станция, где окончил свою жизнь Лев Толстой?",Астапово,Щёкино,Белево,Волово
2098,Какими словами в романе А.С.Пушкина начинается письмо Онегина к Татьяне?,"""Предвижу всё ...""","""Я знаю всё ...""","""Скажу Вам всё ...""","""Я понял всё ..."""
2099,Какой тип природной зоны можно наблюдать в североамериканской прерии?,Степь,Пустыня,Болото,Лес
2100,Какой из островов не относится к Курильской гряде?,Монерон,Экарма,Расшуа,Кетой
2101,Каким по счету президентом США стал Барак Обама?,44,40,51,56
2102,С чем канцлер Германской империи Отто фон Бисмарк сравнивал колбасу?,С политикой,С театром,С наукой,С бездельем
2103,В какую эпоху обитал питекантроп?,"Считается, что питекантроп обитал в эпоху нижнего палеолита (2,6 млн — 150 тыс. лет до н. э.). Современные исследователи не склонны считать питекантропа предком современного человека. По всей видимомсти он представляет собой дальнюю и изолированную популя",Неолит,Мезолит,Эпипалеолит
